GUID c61ec7555734401d86a6c303a197a409
Blueprint_4_Supply_3_Amount 2
Blueprint_4_Product 33006
Blueprint_4_Products 1
Blueprint_4_Tool 34108
Blueprint_4_Level 3
Blueprint_4_Skill Craft
Blueprint_5_Type Apparel
Blueprint_5_Supplies 4
Blueprint_5_Supply_0_ID 34218
Blueprint_5_Supply_0_Amount 1
Blueprint_5_Supply_1_ID 33000
Blueprint_5_Supply_1_Amount 1
Blueprint_5_Supply_2_ID 34109
Blueprint_5_Supply_2_Amount 1
Blueprint_5_Supply_3_ID 66
Blueprint_5_Supply_3_Amount 2
Blueprint_5_Product 33007
Blueprint_5_Products 1
Blueprint_5_Tool 34108
Blueprint_5_Level 3
Blueprint_5_Skill Craft
Blueprint_6_Type Apparel
Blueprint_6_Supplies 4
Blueprint_6_Supply_0_ID 34219
Blueprint_6_Supply_0_Amount 1
Blueprint_6_Supply_1_ID 33000
Blueprint_6_Supply_1_Amount 1
Blueprint_6_Supply_2_ID 34109
Blueprint_6_Supply_2_Amount 1
Blueprint_6_Supply_3_ID 66
Blueprint_6_Supply_3_Amount 2
Blueprint_6_Product 33008
Blueprint_6_Products 1
Blueprint_6_Tool 34108
Blueprint_6_Level 3
Blueprint_6_Skill Craft
Blueprint_7_Type Apparel
Blueprint_7_Supplies 4
Blueprint_7_Supply_0_ID 34220
Blueprint_7_Supply_0_Amount 1
Blueprint_7_Supply_1_ID 33000
Blueprint_7_Supply_1_Amount 1
Blueprint_7_Supply_2_ID 34109
Blueprint_7_Supply_2_Amount 1
Blueprint_7_Supply_3_ID 66
Blueprint_7_Supply_3_Amount 2
Blueprint_7_Product 33009
Blueprint_7_Products 1
Blueprint_7_Tool 34108
Blueprint_7_Level 3
Blueprint_7_Skill Craft
Blueprint_8_Type Apparel
Blueprint_8_Supplies 4
Blueprint_8_Supply_0_ID 34221
Blueprint_8_Supply_0_Amount 1
Blueprint_8_Supply_1_ID 33000
Blueprint_8_Supply_1_Amount 1
Blueprint_8_Supply_2_ID 34109
Blueprint_8_Supply_2_Amount 1
Blueprint_8_Supply_3_ID 66
Blueprint_8_Supply_3_Amount 2
Blueprint_8_Product 33010
Blueprint_8_Products 1
Blueprint_8_Tool 34108
Blueprint_8_Level 3
Blueprint_8_Skill Craft
Blueprint_9_Type Apparel
Blueprint_9_Supplies 4
Blueprint_9_Supply_0_ID 34222
Blueprint_9_Supply_0_Amount 1
Blueprint_9_Supply_1_ID 33000
Blueprint_9_Supply_1_Amount 1
Blueprint_9_Supply_2_ID 34109
Blueprint_9_Supply_2_Amount 1
Blueprint_9_Supply_3_ID 66
Blueprint_9_Supply_3_Amount 2
Blueprint_9_Product 33011
Blueprint_9_Products 1
Blueprint_9_Tool 34108
Blueprint_9_Level 3
Blueprint_9_Skill Craft
Blueprint_10_Type Apparel
Blueprint_10_Supplies 4
Blueprint_10_Supply_0_ID 34223
Blueprint_10_Supply_0_Amount 1
Blueprint_10_Supply_1_ID 33000
Blueprint_10_Supply_1_Amount 1
Blueprint_10_Supply_2_ID 34109
Blueprint_10_Supply_2_Amount 1
Blueprint_10_Supply_3_ID 66
Blueprint_10_Supply_3_Amount 2
Blueprint_10_Product 33012
Blueprint_10_Products 1
Blueprint_10_Tool 34108
Blueprint_10_Level 3
Blueprint_10_Skill Craft
Blueprint_11_Type Apparel
Blueprint_11_Supplies 3
Blueprint_11_Supply_0_ID 34008
Blueprint_11_Supply_0_Amount 1
Blueprint_11_Supply_1_ID 33000
Blueprint_11_Supply_1_Amount 1
Blueprint_11_Supply_2_ID 34109
Blueprint_11_Supply_2_Amount 1
Blueprint_11_Product 33013
Blueprint_11_Products 1
Blueprint_11_Tool 34108
Blueprint_11_Level 3
Blueprint_11_Skill Craft
Blueprint_12_Type Apparel
Blueprint_12_Supplies 3
Blueprint_12_Supply_0_ID 34009
Blueprint_12_Supply_0_Amount 1
Blueprint_12_Supply_1_ID 33000
Blueprint_12_Supply_1_Amount 1
Blueprint_12_Supply_2_ID 34109
Blueprint_12_Supply_2_Amount 1
Blueprint_12_Product 33014
Blueprint_12_Products 1
Blueprint_12_Tool 34108
Blueprint_12_Level 3
Blueprint_12_Skill Craft
Blueprint_13_Type Apparel
Blueprint_13_Supplies 3
Blueprint_13_Supply_0_ID 34010
Blueprint_13_Supply_0_Amount 1
Blueprint_13_Supply_1_ID 33000
Blueprint_13_Supply_1_Amount 1
Blueprint_13_Supply_2_ID 34109
Blueprint_13_Supply_2_Amount 1
Blueprint_13_Product 33015
Blueprint_13_Products 1
Blueprint_13_Tool 34108
Blueprint_13_Level 3
Blueprint_13_Skill Craft
Blueprint_14_Type Apparel
Blueprint_14_Supplies 3
Blueprint_14_Supply_0_ID 34011
Blueprint_14_Supply_0_Amount 1
Blueprint_14_Supply_1_ID 33000
Blueprint_14_Supply_1_Amount 1
Blueprint_14_Supply_2_ID 34109
Blueprint_14_Supply_2_Amount 1
Blueprint_14_Product 33016
Blueprint_14_Products 1
Blueprint_14_Tool 34108
Blueprint_14_Level 3
Blueprint_14_Skill Craft
Blueprint_15_Type Apparel
Blueprint_15_Supplies 3
Blueprint_15_Supply_0_ID 34012
Blueprint_15_Supply_0_Amount 1
Blueprint_15_Supply_1_ID 33000
Blueprint_15_Supply_1_Amount 1
Blueprint_15_Supply_2_ID 34109
Blueprint_15_Supply_2_Amount 1
Blueprint_15_Product 33017
Blueprint_15_Products 1
Blueprint_15_Tool 34108
Blueprint_15_Level 3
Blueprint_15_Skill Craft
Blueprint_16_Type Apparel
Blueprint_16_Supplies 3
Blueprint_16_Supply_0_ID 34013
Blueprint_16_Supply_0_Amount 1
Blueprint_16_Supply_1_ID 33000
Blueprint_16_Supply_1_Amount 1
Blueprint_16_Supply_2_ID 34109
Blueprint_16_Supply_2_Amount 1
Blueprint_16_Product 33018
Blueprint_16_Products 1
Blueprint_16_Tool 34108
Blueprint_16_Level 3
Blueprint_16_Skill Craft
Blueprint_17_Type Apparel
Blueprint_17_Supplies 3
Blueprint_17_Supply_0_ID 34014
Blueprint_17_Supply_0_Amount 1
Blueprint_17_Supply_1_ID 33000
Blueprint_17_Supply_1_Amount 1
Blueprint_17_Supply_2_ID 34109
Blueprint_17_Supply_2_Amount 1
Blueprint_17_Product 33019
Blueprint_17_Products 1
Blueprint_17_Tool 34108
Blueprint_17_Level 3
Blueprint_17_Skill Craft
Blueprint_18_Type Apparel
Blueprint_18_Supplies 3
Blueprint_18_Supply_0_ID 34015
Blueprint_18_Supply_0_Amount 1
Blueprint_18_Supply_1_ID 33000
Blueprint_18_Supply_1_Amount 1
Blueprint_18_Supply_2_ID 34109
Blueprint_18_Supply_2_Amount 1
Blueprint_18_Product 33020
Blueprint_18_Products 1
Blueprint_18_Tool 34108
Blueprint_18_Level 3
Blueprint_18_Skill Craft
Blueprint_19_Type Apparel
Blueprint_19_Supplies 4
Blueprint_19_Supply_0_ID 209
Blueprint_19_Supply_0_Amount 1
Blueprint_19_Supply_1_ID 33000
Blueprint_19_Supply_1_Amount 1
Blueprint_19_Supply_2_ID 34109
Blueprint_19_Supply_2_Amount 1
Blueprint_19_Supply_3_ID 66
Blueprint_19_Supply_3_Amount 2
Blueprint_19_Product 33021
Blueprint_19_Products 1
Blueprint_19_Tool 34108
Blueprint_19_Level 3
Blueprint_19_Skill Craft
Blueprint_20_Type Apparel
Blueprint_20_Supplies 4
Blueprint_20_Supply_0_ID 212
Blueprint_20_Supply_0_Amount 1
Blueprint_20_Supply_1_ID 33000
Blueprint_20_Supply_1_Amount 1
Blueprint_20_Supply_2_ID 34109
Blueprint_20_Supply_2_Amount 1
Blueprint_20_Supply_3_ID 66
Blueprint_20_Supply_3_Amount 2
Blueprint_20_Product 33022
Blueprint_20_Products 1
Blueprint_20_Tool 34108
Blueprint_20_Level 3
Blueprint_20_Skill Craft
Blueprint_21_Type Apparel
Blueprint_21_Supplies 4
Blueprint_21_Supply_0_ID 213
Blueprint_21_Supply_0_Amount 1
Blueprint_21_Supply_1_ID 33000
Blueprint_21_Supply_1_Amount 1
Blueprint_21_Supply_2_ID 34109
Blueprint_21_Supply_2_Amount 1
Blueprint_21_Supply_3_ID 66
Blueprint_21_Supply_3_Amount 2
Blueprint_21_Product 33023
Blueprint_21_Products 1
Blueprint_21_Tool 34108
Blueprint_21_Level 3
Blueprint_21_Skill Craft
Blueprint_22_Type Apparel
Blueprint_22_Supplies 4
Blueprint_22_Supply_0_ID 214
Blueprint_22_Supply_0_Amount 1
Blueprint_22_Supply_1_ID 33000
Blueprint_22_Supply_1_Amount 1
Blueprint_22_Supply_2_ID 34109
Blueprint_22_Supply_2_Amount 1
Blueprint_22_Supply_3_ID 66
Blueprint_22_Supply_3_Amount 2
Blueprint_22_Product 33024
Blueprint_22_Products 1
Blueprint_22_Tool 34108
Blueprint_22_Level 3
Blueprint_22_Skill Craft
Blueprint_23_Type Apparel
Blueprint_23_Supplies 4
Blueprint_23_Supply_0_ID 2
Blueprint_23_Supply_0_Amount 1
Blueprint_23_Supply_1_ID 33000
Blueprint_23_Supply_1_Amount 1
Blueprint_23_Supply_2_ID 34109
Blueprint_23_Supply_2_Amount 1
Blueprint_23_Supply_3_ID 66
Blueprint_23_Supply_3_Amount 2
Blueprint_23_Product 33025
Blueprint_23_Products 1
Blueprint_23_Tool 34108
Blueprint_23_Level 3
Blueprint_23_Skill Craft
Blueprint_24_Type Apparel
Blueprint_24_Supplies 4
Blueprint_24_Supply_0_ID 207
Blueprint_24_Supply_0_Amount 1
Blueprint_24_Supply_1_ID 33000
Blueprint_24_Supply_1_Amount 1
Blueprint_24_Supply_2_ID 34109
Blueprint_24_Supply_2_Amount 1
Blueprint_24_Supply_3_ID 66
Blueprint_24_Supply_3_Amount 2
Blueprint_24_Product 33026
Blueprint_24_Products 1
Blueprint_24_Tool 34108
Blueprint_24_Level 3
Blueprint_24_Skill Craft
Blueprint_25_Type Apparel
Blueprint_25_Supplies 3
Blueprint_25_Supply_0_ID 34173
Blueprint_25_Supply_0_Amount 1
Blueprint_25_Supply_1_ID 33000
Blueprint_25_Supply_1_Amount 1
Blueprint_25_Supply_2_ID 34109
Blueprint_25_Supply_2_Amount 2
Blueprint_25_Product 33027
Blueprint_25_Products 1
Blueprint_25_Tool 34108
Blueprint_25_Level 3
Blueprint_25_Skill Craft
Blueprint_26_Type Apparel
Blueprint_26_Supplies 3
Blueprint_26_Supply_0_ID 34174
Blueprint_26_Supply_0_Amount 1
Blueprint_26_Supply_1_ID 33000
Blueprint_26_Supply_1_Amount 1
Blueprint_26_Supply_2_ID 34109
Blueprint_26_Supply_2_Amount 2
Blueprint_26_Product 33028
Blueprint_26_Products 1
Blueprint_26_Tool 34108
Blueprint_26_Level 3
Blueprint_26_Skill Craft
Blueprint_27_Type Apparel
Blueprint_27_Supplies 3
Blueprint_27_Supply_0_ID 34175
Blueprint_27_Supply_0_Amount 1
Blueprint_27_Supply_1_ID 33000
Blueprint_27_Supply_1_Amount 1
Blueprint_27_Supply_2_ID 34109
Blueprint_27_Supply_2_Amount 2
Blueprint_27_Product 33029
Blueprint_27_Products 1
Blueprint_27_Tool 34108
Blueprint_27_Level 3
Blueprint_27_Skill Craft
Blueprint_28_Type Apparel
Blueprint_28_Supplies 2
Blueprint_28_Supply_0_ID 33027
Blueprint_28_Supply_0_Amount 1
Blueprint_28_Supply_1_ID 33001
Blueprint_28_Supply_1_Amount 1
Blueprint_28_Product 33030
Blueprint_28_Products 1
Blueprint_28_Tool 34108
Blueprint_28_Level 3
Blueprint_28_Skill Craft
Blueprint_29_Type Apparel
Blueprint_29_Supplies 2
Blueprint_29_Supply_0_ID 33028
Blueprint_29_Supply_0_Amount 1
Blueprint_29_Supply_1_ID 33001
Blueprint_29_Supply_1_Amount 1
Blueprint_29_Product 33031
Blueprint_29_Products 1
Blueprint_29_Tool 34108
Blueprint_29_Level 3
Blueprint_29_Skill Craft
Blueprint_30_Type Apparel
Blueprint_30_Supplies 2
Blueprint_30_Supply_0_ID 33029
Blueprint_30_Supply_0_Amount 1
Blueprint_30_Supply_1_ID 33001
Blueprint_30_Supply_1_Amount 1
Blueprint_30_Product 33032
Blueprint_30_Products 1
Blueprint_30_Tool 34108
Blueprint_30_Level 3
Blueprint_30_Skill Craft
Blueprint_31_Type Apparel
Blueprint_31_Supplies 3
Blueprint_31_Supply_0_ID 34176
Blueprint_31_Supply_0_Amount 1
Blueprint_31_Supply_1_ID 33000
Blueprint_31_Supply_1_Amount 1
Blueprint_31_Supply_2_ID 34109
Blueprint_31_Supply_2_Amount 2
Blueprint_31_Product 33033
Blueprint_31_Products 1
Blueprint_31_Tool 34108
Blueprint_31_Level 3
Blueprint_31_Skill Craft
Blueprint_32_Type Apparel
Blueprint_32_Supplies 3
Blueprint_32_Supply_0_ID 34177
Blueprint_32_Supply_0_Amount 1
Blueprint_32_Supply_1_ID 33000
Blueprint_32_Supply_1_Amount 1
Blueprint_32_Supply_2_ID 34109
Blueprint_32_Supply_2_Amount 2
Blueprint_32_Product 33034
Blueprint_32_Products 1
Blueprint_32_Tool 34108
Blueprint_32_Level 3
Blueprint_32_Skill Craft
Blueprint_33_Type Apparel
Blueprint_33_Supplies 3
Blueprint_33_Supply_0_ID 34178
Blueprint_33_Supply_0_Amount 1
Blueprint_33_Supply_1_ID 33000
Blueprint_33_Supply_1_Amount 1
Blueprint_33_Supply_2_ID 34109
Blueprint_33_Supply_2_Amount 2
Blueprint_33_Product 33035
Blueprint_33_Products 1
Blueprint_33_Tool 34108
Blueprint_33_Level 3
Blueprint_33_Skill Craft
Blueprint_34_Type Apparel
Blueprint_34_Supplies 2
Blueprint_34_Supply_0_ID 33033
Blueprint_34_Supply_0_Amount 1
Blueprint_34_Supply_1_ID 33001
Blueprint_34_Supply_1_Amount 1
Blueprint_34_Product 33036
Blueprint_34_Products 1
Blueprint_34_Tool 34108
Blueprint_34_Level 3
Blueprint_34_Skill Craft
Blueprint_35_Type Apparel
Blueprint_35_Supplies 2
Blueprint_35_Supply_0_ID 33034
Blueprint_35_Supply_0_Amount 1
Blueprint_35_Supply_1_ID 33001
Blueprint_35_Supply_1_Amount 1
Blueprint_35_Product 33037
Blueprint_35_Products 1
Blueprint_35_Tool 34108
Blueprint_35_Level 3
Blueprint_35_Skill Craft
Blueprint_36_Type Apparel
Blueprint_36_Supplies 2
Blueprint_36_Supply_0_ID 33035
Blueprint_36_Supply_0_Amount 1
Blueprint_36_Supply_1_ID 33001
Blueprint_36_Supply_1_Amount 1
Blueprint_36_Product 33038
Blueprint_36_Products 1
Blueprint_36_Tool 34108
Blueprint_36_Level 3
Blueprint_36_Skill Craft
Blueprint_37_Type Apparel
Blueprint_37_Supplies 3
Blueprint_37_Supply_0_ID 34203
Blueprint_37_Supply_0_Amount 1
Blueprint_37_Supply_1_ID 33000
Blueprint_37_Supply_1_Amount 1
Blueprint_37_Supply_2_ID 34109
Blueprint_37_Supply_2_Amount 2
Blueprint_37_Product 33039
Blueprint_37_Products 1
Blueprint_37_Tool 34108
Blueprint_37_Level 3
Blueprint_37_Skill Craft
Blueprint_38_Type Apparel
Blueprint_38_Supplies 3
Blueprint_38_Supply_0_ID 34204
Blueprint_38_Supply_0_Amount 1
Blueprint_38_Supply_1_ID 33000
Blueprint_38_Supply_1_Amount 1
Blueprint_38_Supply_2_ID 34109
Blueprint_38_Supply_2_Amount 2
Blueprint_38_Product 33040
Blueprint_38_Products 1
Blueprint_38_Tool 34108
Blueprint_38_Level 3
Blueprint_38_Skill Craft
Blueprint_39_Type Apparel
Blueprint_39_Supplies 3
Blueprint_39_Supply_0_ID 34205
Blueprint_39_Supply_0_Amount 1
Blueprint_39_Supply_1_ID 33000
Blueprint_39_Supply_1_Amount 1
Blueprint_39_Supply_2_ID 34109
Blueprint_39_Supply_2_Amount 2
Blueprint_39_Product 33041
Blueprint_39_Products 1
Blueprint_39_Tool 34108
Blueprint_39_Level 3
Blueprint_39_Skill Craft
Blueprint_40_Type Apparel
Blueprint_40_Supplies 2
Blueprint_40_Supply_0_ID 33039
Blueprint_40_Supply_0_Amount 1
Blueprint_40_Supply_1_ID 33001
Blueprint_40_Supply_1_Amount 1
Blueprint_40_Product 33042
Blueprint_40_Products 1
Blueprint_40_Tool 34108
Blueprint_40_Level 3
Blueprint_40_Skill Craft
Blueprint_41_Type Apparel
Blueprint_41_Supplies 2
Blueprint_41_Supply_0_ID 33040
Blueprint_41_Supply_0_Amount 1
Blueprint_41_Supply_1_ID 33001
Blueprint_41_Supply_1_Amount 1
Blueprint_41_Product 33043
Blueprint_41_Products 1
Blueprint_41_Tool 34108
Blueprint_41_Level 3
Blueprint_41_Skill Craft
Blueprint_42_Type Apparel
Blueprint_42_Supplies 2
Blueprint_42_Supply_0_ID 33041
Blueprint_42_Supply_0_Amount 1
Blueprint_42_Supply_1_ID 33001
Blueprint_42_Supply_1_Amount 1
Blueprint_42_Product 33044
Blueprint_42_Products 1
Blueprint_42_Tool 34108
Blueprint_42_Level 3
Blueprint_42_Skill Craft
Blueprint_43_Type Apparel
Blueprint_43_Supplies 3
Blueprint_43_Supply_0_ID 34206
Blueprint_43_Supply_0_Amount 1
Blueprint_43_Supply_1_ID 33000
Blueprint_43_Supply_1_Amount 1
Blueprint_43_Supply_2_ID 34109
Blueprint_43_Supply_2_Amount 2
Blueprint_43_Product 33045
Blueprint_43_Products 1
Blueprint_43_Tool 34108
Blueprint_43_Level 3
Blueprint_43_Skill Craft
Blueprint_44_Type Apparel
Blueprint_44_Supplies 3
Blueprint_44_Supply_0_ID 34207
Blueprint_44_Supply_0_Amount 1
Blueprint_44_Supply_1_ID 33000
Blueprint_44_Supply_1_Amount 1
Blueprint_44_Supply_2_ID 34109
Blueprint_44_Supply_2_Amount 2
Blueprint_44_Product 33046
Blueprint_44_Products 1
Blueprint_44_Tool 34108
Blueprint_44_Level 3
Blueprint_44_Skill Craft
Blueprint_45_Type Apparel
Blueprint_45_Supplies 3
Blueprint_45_Supply_0_ID 34208
Blueprint_45_Supply_0_Amount 1
Blueprint_45_Supply_1_ID 33000
Blueprint_45_Supply_1_Amount 1
Blueprint_45_Supply_2_ID 34109
Blueprint_45_Supply_2_Amount 2
Blueprint_45_Product 33047
Blueprint_45_Products 1
Blueprint_45_Tool 34108
Blueprint_45_Level 3
Blueprint_45_Skill Craft
Blueprint_46_Type Apparel
Blueprint_46_Supplies 2
Blueprint_46_Supply_0_ID 33045
Blueprint_46_Supply_0_Amount 1
Blueprint_46_Supply_1_ID 33001
Blueprint_46_Supply_1_Amount 1
Blueprint_46_Product 33048
Blueprint_46_Products 1
Blueprint_46_Tool 34108
Blueprint_46_Level 3
Blueprint_46_Skill Craft
Blueprint_47_Type Apparel
Blueprint_47_Supplies 2
Blueprint_47_Supply_0_ID 33046
Blueprint_47_Supply_0_Amount 1
Blueprint_47_Supply_1_ID 33001
Blueprint_47_Supply_1_Amount 1
Blueprint_47_Product 33049
Blueprint_47_Products 1
Blueprint_47_Tool 34108
Blueprint_47_Level 3
Blueprint_47_Skill Craft
Blueprint_48_Type Apparel
Blueprint_48_Supplies 2
Blueprint_48_Supply_0_ID 33047
Blueprint_48_Supply_0_Amount 1
Blueprint_48_Supply_1_ID 33001
Blueprint_48_Supply_1_Amount 1
Blueprint_48_Product 33050
Blueprint_48_Products 1
Blueprint_48_Tool 34108
Blueprint_48_Level 3
Blueprint_48_Skill Craft
Blueprint_49_Type Apparel
Blueprint_49_Supplies 3
Blueprint_49_Supply_0_ID 34209
Blueprint_49_Supply_0_Amount 1
Blueprint_49_Supply_1_ID 33000
Blueprint_49_Supply_1_Amount 1
Blueprint_49_Supply_2_ID 34109
Blueprint_49_Supply_2_Amount 2
Blueprint_49_Product 33051
Blueprint_49_Products 1
Blueprint_49_Tool 34108
Blueprint_49_Level 3
Blueprint_49_Skill Craft
Blueprint_50_Type Apparel
Blueprint_50_Supplies 3
Blueprint_50_Supply_0_ID 34210
Blueprint_50_Supply_0_Amount 1
Blueprint_50_Supply_1_ID 33000
Blueprint_50_Supply_1_Amount 1
Blueprint_50_Supply_2_ID 34109
Blueprint_50_Supply_2_Amount 2
Blueprint_50_Product 33052
Blueprint_50_Products 1
Blueprint_50_Tool 34108
Blueprint_50_Level 3
Blueprint_50_Skill Craft
Blueprint_51_Type Apparel
Blueprint_51_Supplies 3
Blueprint_51_Supply_0_ID 34211
Blueprint_51_Supply_0_Amount 1
Blueprint_51_Supply_1_ID 33000
Blueprint_51_Supply_1_Amount 1
Blueprint_51_Supply_2_ID 34109
Blueprint_51_Supply_2_Amount 2
Blueprint_51_Product 33053
Blueprint_51_Products 1
Blueprint_51_Tool 34108
Blueprint_51_Level 3
Blueprint_51_Skill Craft
Blueprint_52_Type Apparel
Blueprint_52_Supplies 2
Blueprint_52_Supply_0_ID 33051
Blueprint_52_Supply_0_Amount 1
Blueprint_52_Supply_1_ID 33001
Blueprint_52_Supply_1_Amount 1
Blueprint_52_Product 33054
Blueprint_52_Products 1
Blueprint_52_Tool 34108
Blueprint_52_Level 3
Blueprint_52_Skill Craft
Blueprint_53_Type Apparel
Blueprint_53_Supplies 2
Blueprint_53_Supply_0_ID 33052
Blueprint_53_Supply_0_Amount 1
Blueprint_53_Supply_1_ID 33001
Blueprint_53_Supply_1_Amount 1
Blueprint_53_Product 33055
Blueprint_53_Products 1
Blueprint_53_Tool 34108
Blueprint_53_Level 3
Blueprint_53_Skill Craft
Blueprint_54_Type Apparel
Blueprint_54_Supplies 2
Blueprint_54_Supply_0_ID 33053
Blueprint_54_Supply_0_Amount 1
Blueprint_54_Supply_1_ID 33001
Blueprint_54_Supply_1_Amount 1
Blueprint_54_Product 33056
Blueprint_54_Products 1
Blueprint_54_Tool 34108
Blueprint_54_Level 3
Blueprint_54_Skill Craft
