GUID 20ba7d1db15f42d2b7e6a6ad97830689
Table_130_Asset_ID 37356
Table_130_Weight 5
Table_131_Asset_ID 37433
Table_131_Weight 5
Table_132_Asset_ID 37435
Table_132_Weight 5
Table_133_Asset_ID 37438
Table_133_Weight 5
Table_134_Asset_ID 37425
Table_134_Weight 5
Table_135_Asset_ID 37432
Table_135_Weight 5
Table_136_Asset_ID 37346
Table_136_Weight 5
Table_137_Asset_ID 37515
Table_137_Weight 5
Table_138_Asset_ID 37426
Table_138_Weight 5
Table_139_Asset_ID 37443
Table_139_Weight 4
Table_140_Asset_ID 37348
Table_140_Weight 3
