GUID 0fd787ad97c74535a65f1d7fb57134ff
Blueprint_24_Tool 34108
Blueprint_24_Level 3
Blueprint_24_Skill Craft
Blueprint_24_Build 32
Blueprint_25_Type Apparel
Blueprint_25_Supplies 2
Blueprint_25_Supply_0_ID 34048
Blueprint_25_Supply_0_Amount 1
Blueprint_25_Supply_1_ID 34109
Blueprint_25_Supply_1_Amount 1
Blueprint_25_Product 34118
Blueprint_25_Products 1
Blueprint_25_Tool 34108
Blueprint_25_Level 3
Blueprint_25_Skill Craft
Blueprint_25_Build 32
Blueprint_26_Type Apparel
Blueprint_26_Supplies 2
Blueprint_26_Supply_0_ID 34049
Blueprint_26_Supply_0_Amount 1
Blueprint_26_Supply_1_ID 34109
Blueprint_26_Supply_1_Amount 1
Blueprint_26_Product 34122
Blueprint_26_Products 1
Blueprint_26_Tool 34108
Blueprint_26_Level 3
Blueprint_26_Skill Craft
Blueprint_26_Build 32
Blueprint_27_Type Apparel
Blueprint_27_Supplies 2
Blueprint_27_Supply_0_ID 34110
Blueprint_27_Supply_0_Amount 1
Blueprint_27_Supply_1_ID 34109
Blueprint_27_Supply_1_Amount 1
Blueprint_27_Product 34111
Blueprint_27_Products 1
Blueprint_27_Tool 34108
Blueprint_27_Level 3
Blueprint_27_Skill Craft
Blueprint_27_Build 32
Blueprint_28_Type Apparel
Blueprint_28_Supplies 2
Blueprint_28_Supply_0_ID 34114
Blueprint_28_Supply_0_Amount 1
Blueprint_28_Supply_1_ID 34109
Blueprint_28_Supply_1_Amount 1
Blueprint_28_Product 34115
Blueprint_28_Products 1
Blueprint_28_Tool 34108
Blueprint_28_Level 3
Blueprint_28_Skill Craft
Blueprint_28_Build 32
Blueprint_29_Type Apparel
Blueprint_29_Supplies 2
Blueprint_29_Supply_0_ID 34118
Blueprint_29_Supply_0_Amount 1
Blueprint_29_Supply_1_ID 34109
Blueprint_29_Supply_1_Amount 1
Blueprint_29_Product 34119
Blueprint_29_Products 1
Blueprint_29_Tool 34108
Blueprint_29_Level 3
Blueprint_29_Skill Craft
Blueprint_29_Build 32
Blueprint_30_Type Apparel
Blueprint_30_Supplies 2
Blueprint_30_Supply_0_ID 34122
Blueprint_30_Supply_0_Amount 1
Blueprint_30_Supply_1_ID 34109
Blueprint_30_Supply_1_Amount 1
Blueprint_30_Product 34123
Blueprint_30_Products 1
Blueprint_30_Tool 34108
Blueprint_30_Level 3
Blueprint_30_Skill Craft
Blueprint_30_Build 32
Blueprint_31_Type Apparel
Blueprint_31_Supplies 2
Blueprint_31_Supply_0_ID 34111
Blueprint_31_Supply_0_Amount 1
Blueprint_31_Supply_1_ID 34109
Blueprint_31_Supply_1_Amount 1
Blueprint_31_Product 34112
Blueprint_31_Products 1
Blueprint_31_Tool 34108
Blueprint_31_Level 3
Blueprint_31_Skill Craft
Blueprint_31_Build 32
Blueprint_32_Type Apparel
Blueprint_32_Supplies 2
Blueprint_32_Supply_0_ID 34115
Blueprint_32_Supply_0_Amount 1
Blueprint_32_Supply_1_ID 34109
Blueprint_32_Supply_1_Amount 1
Blueprint_32_Product 34116
Blueprint_32_Products 1
Blueprint_32_Tool 34108
Blueprint_32_Level 3
Blueprint_32_Skill Craft
Blueprint_32_Build 32
Blueprint_33_Type Apparel
Blueprint_33_Supplies 2
Blueprint_33_Supply_0_ID 34119
Blueprint_33_Supply_0_Amount 1
Blueprint_33_Supply_1_ID 34109
Blueprint_33_Supply_1_Amount 1
Blueprint_33_Product 34120
Blueprint_33_Products 1
Blueprint_33_Tool 34108
Blueprint_33_Level 3
Blueprint_33_Skill Craft
Blueprint_33_Build 32
Blueprint_34_Type Apparel
Blueprint_34_Supplies 2
Blueprint_34_Supply_0_ID 34123
Blueprint_34_Supply_0_Amount 1
Blueprint_34_Supply_1_ID 34109
Blueprint_34_Supply_1_Amount 1
Blueprint_34_Product 34124
Blueprint_34_Products 1
Blueprint_34_Tool 34108
Blueprint_34_Level 3
Blueprint_34_Skill Craft
Blueprint_34_Build 32
Blueprint_35_Type Apparel
Blueprint_35_Supplies 2
Blueprint_35_Supply_0_ID 34050
Blueprint_35_Supply_0_Amount 1
Blueprint_35_Supply_1_ID 34109
Blueprint_35_Supply_1_Amount 1
Blueprint_35_Product 34126
Blueprint_35_Products 1
Blueprint_35_Tool 34108
Blueprint_35_Level 3
Blueprint_35_Skill Craft
Blueprint_35_Build 32
Blueprint_36_Type Apparel
Blueprint_36_Supplies 2
Blueprint_36_Supply_0_ID 34051
Blueprint_36_Supply_0_Amount 1
Blueprint_36_Supply_1_ID 34109
Blueprint_36_Supply_1_Amount 1
Blueprint_36_Product 34130
Blueprint_36_Products 1
Blueprint_36_Tool 34108
Blueprint_36_Level 3
Blueprint_36_Skill Craft
Blueprint_36_Build 32
Blueprint_37_Type Apparel
Blueprint_37_Supplies 2
Blueprint_37_Supply_0_ID 34052
Blueprint_37_Supply_0_Amount 1
Blueprint_37_Supply_1_ID 34109
Blueprint_37_Supply_1_Amount 1
Blueprint_37_Product 34134
Blueprint_37_Products 1
Blueprint_37_Tool 34108
Blueprint_37_Level 3
Blueprint_37_Skill Craft
Blueprint_37_Build 32
Blueprint_38_Type Apparel
Blueprint_38_Supplies 2
Blueprint_38_Supply_0_ID 34053
Blueprint_38_Supply_0_Amount 1
Blueprint_38_Supply_1_ID 34109
Blueprint_38_Supply_1_Amount 1
Blueprint_38_Product 34138
Blueprint_38_Products 1
Blueprint_38_Tool 34108
Blueprint_38_Level 3
Blueprint_38_Skill Craft
Blueprint_38_Build 32
Blueprint_39_Type Apparel
Blueprint_39_Supplies 2
Blueprint_39_Supply_0_ID 34126
Blueprint_39_Supply_0_Amount 1
Blueprint_39_Supply_1_ID 34109
Blueprint_39_Supply_1_Amount 1
Blueprint_39_Product 34127
Blueprint_39_Products 1
Blueprint_39_Tool 34108
Blueprint_39_Level 3
Blueprint_39_Skill Craft
Blueprint_39_Build 32
Blueprint_40_Type Apparel
Blueprint_40_Supplies 2
Blueprint_40_Supply_0_ID 34130
Blueprint_40_Supply_0_Amount 1
Blueprint_40_Supply_1_ID 34109
Blueprint_40_Supply_1_Amount 1
Blueprint_40_Product 34131
Blueprint_40_Products 1
Blueprint_40_Tool 34108
Blueprint_40_Level 3
Blueprint_40_Skill Craft
Blueprint_40_Build 32
Blueprint_41_Type Apparel
Blueprint_41_Supplies 2
Blueprint_41_Supply_0_ID 34134
Blueprint_41_Supply_0_Amount 1
Blueprint_41_Supply_1_ID 34109
Blueprint_41_Supply_1_Amount 1
Blueprint_41_Product 34135
Blueprint_41_Products 1
Blueprint_41_Tool 34108
Blueprint_41_Level 3
Blueprint_41_Skill Craft
Blueprint_41_Build 32
Blueprint_42_Type Apparel
Blueprint_42_Supplies 2
Blueprint_42_Supply_0_ID 34138
Blueprint_42_Supply_0_Amount 1
Blueprint_42_Supply_1_ID 34109
Blueprint_42_Supply_1_Amount 1
Blueprint_42_Product 34139
Blueprint_42_Products 1
Blueprint_42_Tool 34108
Blueprint_42_Level 3
Blueprint_42_Skill Craft
Blueprint_42_Build 32
Blueprint_43_Type Apparel
Blueprint_43_Supplies 2
Blueprint_43_Supply_0_ID 34127
Blueprint_43_Supply_0_Amount 1
Blueprint_43_Supply_1_ID 34109
Blueprint_43_Supply_1_Amount 1
Blueprint_43_Product 34128
Blueprint_43_Products 1
Blueprint_43_Tool 34108
Blueprint_43_Level 3
Blueprint_43_Skill Craft
Blueprint_43_Build 32
Blueprint_44_Type Apparel
Blueprint_44_Supplies 2
Blueprint_44_Supply_0_ID 34131
Blueprint_44_Supply_0_Amount 1
Blueprint_44_Supply_1_ID 34109
Blueprint_44_Supply_1_Amount 1
Blueprint_44_Product 34132
Blueprint_44_Products 1
Blueprint_44_Tool 34108
Blueprint_44_Level 3
Blueprint_44_Skill Craft
Blueprint_44_Build 32
Blueprint_45_Type Apparel
Blueprint_45_Supplies 2
Blueprint_45_Supply_0_ID 34135
Blueprint_45_Supply_0_Amount 1
Blueprint_45_Supply_1_ID 34109
Blueprint_45_Supply_1_Amount 1
Blueprint_45_Product 34136
Blueprint_45_Products 1
Blueprint_45_Tool 34108
Blueprint_45_Level 3
Blueprint_45_Skill Craft
Blueprint_45_Build 32
Blueprint_46_Type Apparel
Blueprint_46_Supplies 2
Blueprint_46_Supply_0_ID 34139
Blueprint_46_Supply_0_Amount 1
Blueprint_46_Supply_1_ID 34109
Blueprint_46_Supply_1_Amount 1
Blueprint_46_Product 34140
Blueprint_46_Products 1
Blueprint_46_Tool 34108
Blueprint_46_Level 3
Blueprint_46_Skill Craft
Blueprint_46_Build 32
Blueprint_47_Type Apparel
Blueprint_47_Supplies 2
Blueprint_47_Supply_0_ID 34054
Blueprint_47_Supply_0_Amount 1
Blueprint_47_Supply_1_ID 34109
Blueprint_47_Supply_1_Amount 1
Blueprint_47_Product 34142
Blueprint_47_Products 1
Blueprint_47_Tool 34108
Blueprint_47_Level 3
Blueprint_47_Skill Craft
Blueprint_47_Build 32
Blueprint_48_Type Apparel
Blueprint_48_Supplies 2
Blueprint_48_Supply_0_ID 34055
Blueprint_48_Supply_0_Amount 1
Blueprint_48_Supply_1_ID 34109
Blueprint_48_Supply_1_Amount 1
Blueprint_48_Product 34146
Blueprint_48_Products 1
Blueprint_48_Tool 34108
Blueprint_48_Level 3
Blueprint_48_Skill Craft
Blueprint_48_Build 32
Blueprint_49_Type Apparel
Blueprint_49_Supplies 2
Blueprint_49_Supply_0_ID 34056
Blueprint_49_Supply_0_Amount 1
Blueprint_49_Supply_1_ID 34109
Blueprint_49_Supply_1_Amount 1
Blueprint_49_Product 34150
Blueprint_49_Products 1
Blueprint_49_Tool 34108
Blueprint_49_Level 3
Blueprint_49_Skill Craft
Blueprint_49_Build 32
Blueprint_50_Type Apparel
Blueprint_50_Supplies 2
Blueprint_50_Supply_0_ID 34057
Blueprint_50_Supply_0_Amount 1
Blueprint_50_Supply_1_ID 34109
Blueprint_50_Supply_1_Amount 1
Blueprint_50_Product 34154
Blueprint_50_Products 1
Blueprint_50_Tool 34108
Blueprint_50_Level 3
Blueprint_50_Skill Craft
Blueprint_50_Build 32
Blueprint_51_Type Apparel
Blueprint_51_Supplies 2
Blueprint_51_Supply_0_ID 34142
Blueprint_51_Supply_0_Amount 1
Blueprint_51_Supply_1_ID 34109
Blueprint_51_Supply_1_Amount 1
Blueprint_51_Product 34143
Blueprint_51_Products 1
Blueprint_51_Tool 34108
Blueprint_51_Level 3
Blueprint_51_Skill Craft
Blueprint_51_Build 32
Blueprint_52_Type Apparel
Blueprint_52_Supplies 2
Blueprint_52_Supply_0_ID 34146
Blueprint_52_Supply_0_Amount 1
Blueprint_52_Supply_1_ID 34109
Blueprint_52_Supply_1_Amount 1
Blueprint_52_Product 34147
Blueprint_52_Products 1
Blueprint_52_Tool 34108
Blueprint_52_Level 3
Blueprint_52_Skill Craft
Blueprint_52_Build 32
Blueprint_53_Type Apparel
Blueprint_53_Supplies 2
Blueprint_53_Supply_0_ID 34150
Blueprint_53_Supply_0_Amount 1
Blueprint_53_Supply_1_ID 34109
Blueprint_53_Supply_1_Amount 1
Blueprint_53_Product 34151
Blueprint_53_Products 1
Blueprint_53_Tool 34108
Blueprint_53_Level 3
Blueprint_53_Skill Craft
Blueprint_53_Build 32
Blueprint_54_Type Apparel
Blueprint_54_Supplies 2
Blueprint_54_Supply_0_ID 34154
Blueprint_54_Supply_0_Amount 1
Blueprint_54_Supply_1_ID 34109
Blueprint_54_Supply_1_Amount 1
Blueprint_54_Product 34155
Blueprint_54_Products 1
Blueprint_54_Tool 34108
Blueprint_54_Level 3
Blueprint_54_Skill Craft
Blueprint_54_Build 32
Blueprint_55_Type Apparel
Blueprint_55_Supplies 2
Blueprint_55_Supply_0_ID 34143
Blueprint_55_Supply_0_Amount 1
Blueprint_55_Supply_1_ID 34109
Blueprint_55_Supply_1_Amount 1
Blueprint_55_Product 34144
Blueprint_55_Products 1
Blueprint_55_Tool 34108
Blueprint_55_Level 3
Blueprint_55_Skill Craft
Blueprint_55_Build 32
Blueprint_56_Type Apparel
Blueprint_56_Supplies 2
Blueprint_56_Supply_0_ID 34147
Blueprint_56_Supply_0_Amount 1
Blueprint_56_Supply_1_ID 34109
Blueprint_56_Supply_1_Amount 1
Blueprint_56_Product 34148
Blueprint_56_Products 1
Blueprint_56_Tool 34108
Blueprint_56_Level 3
Blueprint_56_Skill Craft
Blueprint_56_Build 32
Blueprint_57_Type Apparel
Blueprint_57_Supplies 2
Blueprint_57_Supply_0_ID 34151
Blueprint_57_Supply_0_Amount 1
Blueprint_57_Supply_1_ID 34109
Blueprint_57_Supply_1_Amount 1
Blueprint_57_Product 34152
Blueprint_57_Products 1
Blueprint_57_Tool 34108
Blueprint_57_Level 3
Blueprint_57_Skill Craft
Blueprint_57_Build 32
Blueprint_58_Type Apparel
Blueprint_58_Supplies 2
Blueprint_58_Supply_0_ID 34155
Blueprint_58_Supply_0_Amount 1
Blueprint_58_Supply_1_ID 34109
Blueprint_58_Supply_1_Amount 1
Blueprint_58_Product 34156
Blueprint_58_Products 1
Blueprint_58_Tool 34108
Blueprint_58_Level 3
Blueprint_58_Skill Craft
Blueprint_58_Build 32
Blueprint_59_Type Apparel
Blueprint_59_Supplies 2
Blueprint_59_Supply_0_ID 34084
Blueprint_59_Supply_0_Amount 1
Blueprint_59_Supply_1_ID 34093
Blueprint_59_Supply_1_Amount 1
Blueprint_59_Product 34096
Blueprint_59_Products 1
Blueprint_59_Build 32
Blueprint_60_Type Apparel
Blueprint_60_Supplies 2
Blueprint_60_Supply_0_ID 34085
Blueprint_60_Supply_0_Amount 1
Blueprint_60_Supply_1_ID 34094
Blueprint_60_Supply_1_Amount 1
Blueprint_60_Product 34097
Blueprint_60_Products 1
Blueprint_60_Build 32
Blueprint_61_Type Apparel
Blueprint_61_Supplies 2
Blueprint_61_Supply_0_ID 34086
Blueprint_61_Supply_0_Amount 1
Blueprint_61_Supply_1_ID 34095
Blueprint_61_Supply_1_Amount 1
Blueprint_61_Product 34098
Blueprint_61_Products 1
Blueprint_61_Build 32
Blueprint_62_Type Apparel
Blueprint_62_Supplies 2
Blueprint_62_Supply_0_ID 34087
Blueprint_62_Supply_0_Amount 1
Blueprint_62_Supply_1_ID 34093
Blueprint_62_Supply_1_Amount 1
Blueprint_62_Product 34099
Blueprint_62_Products 1
Blueprint_62_Build 32
Blueprint_63_Type Apparel
Blueprint_63_Supplies 2
Blueprint_63_Supply_0_ID 34088
Blueprint_63_Supply_0_Amount 1
Blueprint_63_Supply_1_ID 34094
Blueprint_63_Supply_1_Amount 1
Blueprint_63_Product 34100
Blueprint_63_Products 1
Blueprint_63_Build 32
Blueprint_64_Type Apparel
Blueprint_64_Supplies 2
Blueprint_64_Supply_0_ID 34089
Blueprint_64_Supply_0_Amount 1
Blueprint_64_Supply_1_ID 34095
Blueprint_64_Supply_1_Amount 1
Blueprint_64_Product 34101
Blueprint_64_Products 1
Blueprint_64_Build 32
Blueprint_65_Type Apparel
Blueprint_65_Supplies 2
Blueprint_65_Supply_0_ID 34090
Blueprint_65_Supply_0_Amount 1
Blueprint_65_Supply_1_ID 34093
Blueprint_65_Supply_1_Amount 1
Blueprint_65_Product 34102
Blueprint_65_Products 1
Blueprint_65_Build 32
Blueprint_66_Type Apparel
Blueprint_66_Supplies 2
Blueprint_66_Supply_0_ID 34091
Blueprint_66_Supply_0_Amount 1
Blueprint_66_Supply_1_ID 34094
Blueprint_66_Supply_1_Amount 1
Blueprint_66_Product 34103
Blueprint_66_Products 1
Blueprint_66_Build 32
Blueprint_67_Type Apparel
Blueprint_67_Supplies 2
Blueprint_67_Supply_0_ID 34092
Blueprint_67_Supply_0_Amount 1
Blueprint_67_Supply_1_ID 34095
Blueprint_67_Supply_1_Amount 1
Blueprint_67_Product 34104
Blueprint_67_Products 1
Blueprint_67_Build 32
Blueprint_68_Type Apparel
Blueprint_68_Supplies 2
Blueprint_68_Supply_0_ID 34232
Blueprint_68_Supply_0_Amount 1
Blueprint_68_Supply_1_ID 34109
Blueprint_68_Supply_1_Amount 1
Blueprint_68_Product 34233
Blueprint_68_Products 1
Blueprint_68_Build 32
Blueprint_69_Type Apparel
Blueprint_69_Supplies 2
Blueprint_69_Supply_0_ID 34234
Blueprint_69_Supply_0_Amount 1
Blueprint_69_Supply_1_ID 34109
Blueprint_69_Supply_1_Amount 1
Blueprint_69_Product 34235
Blueprint_69_Products 1
Blueprint_69_Build 32
Blueprint_70_Type Apparel
Blueprint_70_Supplies 2
Blueprint_70_Supply_0_ID 34236
Blueprint_70_Supply_0_Amount 1
Blueprint_70_Supply_1_ID 34109
Blueprint_70_Supply_1_Amount 1
Blueprint_70_Product 34237
Blueprint_70_Products 1
Blueprint_70_Build 32
Blueprint_71_Type Apparel
Blueprint_71_Supplies 2
Blueprint_71_Supply_0_ID 34228
Blueprint_71_Supply_0_Amount 1
Blueprint_71_Supply_1_ID 34109
Blueprint_71_Supply_1_Amount 1
Blueprint_71_Product 34229
Blueprint_71_Products 1
Blueprint_71_Build 32
Blueprint_72_Type Apparel
Blueprint_72_Supplies 2
Blueprint_72_Supply_0_ID 34230
Blueprint_72_Supply_0_Amount 1
Blueprint_72_Supply_1_ID 34109
Blueprint_72_Supply_1_Amount 1
Blueprint_72_Product 34231
Blueprint_72_Products 1
Blueprint_72_Build 32
Blueprint_73_Type Apparel
Blueprint_73_Supplies 4
Blueprint_73_Supply_0_ID 34250
Blueprint_73_Supply_0_Amount 1
Blueprint_73_Supply_1_ID 34074
Blueprint_73_Supply_1_Amount 1
Blueprint_73_Supply_2_ID 66
Blueprint_73_Supply_2_Amount 1
Blueprint_73_Supply_3_ID 72
Blueprint_73_Supply_3_Amount 1
Blueprint_73_Product 34251
Blueprint_73_Products 1
Blueprint_73_Build 32
Blueprint_74_Type Apparel
Blueprint_74_Supplies 4
Blueprint_74_Supply_0_ID 34250
Blueprint_74_Supply_0_Amount 1
Blueprint_74_Supply_1_ID 34077
Blueprint_74_Supply_1_Amount 1
Blueprint_74_Supply_2_ID 66
Blueprint_74_Supply_2_Amount 1
Blueprint_74_Supply_3_ID 72
Blueprint_74_Supply_3_Amount 1
Blueprint_74_Product 34252
Blueprint_74_Products 1
Blueprint_74_Build 32
Blueprint_75_Type Apparel
Blueprint_75_Supplies 2
Blueprint_75_Supply_0_ID 34074
Blueprint_75_Supply_0_Amount 1
Blueprint_75_Supply_1_ID 34262
Blueprint_75_Supply_1_Amount 1
Blueprint_75_Product 34079
Blueprint_75_Products 1
Blueprint_75_Build 32
Blueprint_76_Type Apparel
Blueprint_76_Supplies 2
Blueprint_76_Supply_0_ID 34075
